!	_!
!!	_!!
!((	_!((
!)	_!)
!-	_!-
!mxt	_!mxt
!xt	_!xt
"નિયમોને	_"નિયમોને
map/data/bolivia	_map/data/bolivia
map/data/cambodia	_map/data/cambodia
map/data/canada	_map/data/canada
map/data/earth	_map/data/earth
map/data/france	_map/data/france
map/data/india	_map/data/india
map/data/karnataka	_map/data/karnataka
map/data/mali	_map/data/mali
map/data/nepal	_map/data/nepal
map/data/nevada	_map/data/nevada
map/data/norway	_map/data/norway
map/data/usa	_map/data/usa
map/decdeg	_map/decdeg
map/info	_map/info
map/mapname	_map/mapname
map/multi	_map/multi
mapbox	_mapbox
mapframe	_mapframe
mapframe/wikidata	_mapframe/wikidata
maplink	_maplink
maps	_map +s
map~	_map~
maratha	_maratha
marathi-language	_marathi _- _language
marek69	_marek69
mariana	_mariana
markahershberger	_markahershberger
marked	_marked
markup	_markup
marriage	_marriage
marshall	_marshall
maryland	_maryland
massachusetts	_massachusetts
masti	_masti
matches	_matches
math	_math
mauritania	_mauritania
mauritius	_mauritius
maxval	_maxval
mbox	_mbox
mdy	_mdy
medal	_medal
medalbottom	_medal _bottom
medalbronze	_medalbronze
medalcompetition	_medal _competition
medalcountry	_medal _country
medalgold	_medal _gold
medalsilver	_medalsilver
medalsport	_medal _sport
medaltabletop	_medaltabletop
media	_media
meetup	_meetup
meneerke	_meneerke
menobot	_menobot
mercy	_mercy
merge	_merge
merriamwebsterdictionary	_merriamwebsterdictionary
message	_message
messages	_message +s
metalgearliquid	_metalgearliquid
mexican	_mexican
mexico	_mexico
mg	_mg
michigan	_michigan
michoacán	_michoacán
microformat	_microformat
microformats	_microformat +s
micronesia	_micronesia
migration	_migration
mikhalenko	_mikhalenko
milan	_milan
military	_military
mimsy-porpington	_mimsy _- _porpington
minh	_minh
minnesota	_minnesota
minor	_minor
missing	_missing
mississippi	_mississippi
missouri	_missouri
mithridates	_mithridates
mitul0520	_mitul0520
mizo	_mizo
mizoram	_mizoram
mli	_mli
mod	_mod
module	_module
modules	_module +s
moiramoira	_moiramoira
mojo	_mojo
moldavian	_moldavian
moldova	_moldova
momo	_momo
monaco	_monaco
mongolia	_mongolia
mono	_mono
montage	_montage
montana	_montana
montenegro	_montenegro
monthname	_monthname
monthnumber	_monthnumber
months	_months
monument	_monument
monuments	_monument +s
morelos	_morelos
morocco	_morocco
mountain	_mountain
mountain/convert	_mountain/convert
move	_move
move/dated	_move/dated
mozambique	_mozambique
mr	_mr
multichill	_multichill
multiple	_multiple
mumbai	_mumbai
munich	_munich
munnetra	_munnetra
munster	_munster
muro	_muro
museum	_museum
music	_music
mwl	_mwl
mxt	_mxt
myanmar	_myanmar
méxico	_méxico
n/a	_n/a
nadu	_nadu
nagar	_nagar
nagorno-karabakh	_nagorno _- _karabakh
name	_name
name/categories	_name/categories
names	_name +s
namespace	_namespace
namur	_namur
nasdaq	_nasdaq
national	_national
nationalist	_nationalist
nations	_nations
navbar	_navbar
navbar-collapsible	_navbar _- _collapsible
navbox	_navbox
navigation	_navigation
navy	_navy
nayarit	_nayarit
nb	_nb
nds	_nds
ne	_ne
nebraska	_nebraska
needed	_needed
needing	_needing
nehaldavend	_nehaldavend
nep	_nep
nepal	_nepal
netherlands	_netherlands
neutrino	_neutrino
nevada	_nevada
new	_new
newfoundland	_newfoundland
newone	_newone
news	_new +s
nicholas	_nicholas
nickshanks	_nickshanks
nicobar	_nicobar
niger	_niger
nigeria	_nigeria
nihongo	_nihongo
nihongo2	_nihongo2
niosh	_niosh
njardarbot	_njardarbot
njardarlogar	_njardarlogar
nl	_nl
nn	_nn
no	_no
no2	_no2
nobold	_nobold
noindex	_noindex
nom	_nom
non-free	_non _- _free
nonfree	_nonfree
norank	_norank
north	_north
northern	_northern
northwest	_north _west
norway	_norway
nosubst	_nosubst
not	_not
note	_note
notefoot	_notefoot
notelist	_note _list
notelist-ua	_note _list _- _ua
notice	_notice
nov	_nov
nova	_nova
nowrap	_nowrap
nrhp	_nrhp
ns	_ns
nts	_nts
ntsh	_ntsh
nuevo	_nuevo
number	_number
numeral	_numeral
numis	_numis
nunavut	_nunavut
nutritional	_nutritional
nutshell	_nutshell
oaxaca	_oaxaca
obersachse	_obersachse
obersachsebot	_obersachsebot
obscure	_obscure
oc	_oc
oclc	_oclc
odia-language	_odia _- _language
odnb	_odnb
odnbsub	_odnbsub
of	_of
officeholder	_officeholder
officeholder/office	_officeholder/office
officer	_officer
official	_official
offsblink	_offsblink
ohio	_ohio
oklahoma	_oklahoma
oman	_oman
ombox	_ombox
ombox/core	_ombox/core
on	_on
only	_only
ontario	_ontario
open	_open
operation	_operation
or	_or
order	_order
ordered	_ordered
ordinal	_ordinal
oregon	_oregon
organization	_organization
oslac	_oslac
osm	_osm
other	_other
othercations	_othercations
ottoman	_ottoman
oup/userbox	_oup/userbox
outdent	_outdent
outputbuffer	_outputbuffer
overijssel	_overijssel
overs	_overs
pa	_pa
pad	_pad
page	_page
pagelist	_page _list
pagenamebase	_pagenamebase
pagenametdoc	_pagenametdoc
pages	_page +s
pagetype	_page _type
pagetype/config	_pagetype/config
pakistan	_pakistan
paksha/meta/color	_paksha/meta/color
panama	_panama
panch	_panch
para	_para
paradoctor	_paradoctor
paragraph	_paragraph
parameter	_parameter
parametercount	_parameter _count
parameters	_parameter +s
parmpart	_parmpart
partial	_partial
particle	_particle
particle/link	_particle/link
particle/symbol	_particle/symbol
particle/symbol/electron	_particle/symbol/electron
particle/symbol/gamma	_particle/symbol/gamma
particle/symbol/higgs	_particle/symbol/higgs
particle/symbol/muon	_particle/symbol/muon
particle/symbol/neutron	_particle/symbol/neutron
particle/symbol/nucleon+	_particle/symbol/nucleon+
particle/symbol/photon	_particle/symbol/photon
particle/symbol/pion+	_particle/symbol/pion+
particle/symbol/pion-	_particle/symbol/pion-
particle/symbol/pion0	_particle/symbol/pion0
particle/symbol/positron	_particle/symbol/positron
particle/symbol/proton	_particle/symbol/proton
particle/symbol/proton+	_particle/symbol/proton+
partner	_partner
party	_party
party/meta/color	_party/meta/color
pashto-language	_pashto _- _language
pass	_pass
pavao	_pavao
pd-notice	_pd _- _notice
peasants	_peasants
pending	_pending
pennsylvania	_pennsylvania
people's	_people's
peoples	_peoples
percent	_percent
person	_person
person/height	_person/height
person/height/locate	_person/height/locate
person/height/switch	_person/height/switch
person/weight	_person/weight
person/weight/locate	_person/weight/locate
person/wikidata	_person/wikidata
peru	_peru
ph	_ph
philadelphia	_philadelphia
philippines	_philippines
philosopher	_philosopher
philosophy	_philosophy
photo	_photo
photomontage	_photo _montage
php	_php
phrases	_phrase +s
physics	_physics
pi	_pi
pie	_pie
pih	_pih
ping	_ping
pipe	_pipe
pipepbot	_pipepbot
pixelbot	_pixelbot
pka	_pka
pkb	_pkb
pl	_pl
place	_place
plain	_plain
plainlist	_plain _list
planet	_planet
player	_player
please	_please
plot	_plot
pointgroup	_pointgroup
poland	_poland
police	_police
political	_political
politics	_politics
polluted	_polluted
polparty	_polparty
polygon	_polygon
polyhedron	_polyhedron
polytonic	_polytonic
pop	_pop
poptoday	_poptoday
population	_population
port	_port
portal	_portal
portal/images/r	_portal/images/r
portugal	_portugal
portuguese	_portuguese
post	_post
poster	_poster
potentially	_potentially
potosí	_potosí
power	_power
pp	_pp
pp-move	_pp _- _move
pp-semi-vandalism	_pp _- _semi _- _vandalism
pp-template	_pp _- _template
pradesh	_pradesh
pre	_pre
pre2	_pre2
precision	_precision
preload	_preload
preserving	_preserving
preview	_preview
prince	_prince
principality	_principality
print	_print
priority	_priority
project	_project
proposed	_proposed
protected	_protected
protection	_protection
province	_province
pt	_pt
ptbotgourou	_ptbotgourou
public	_public
publisher	_publisher
puebla	_puebla
puerto	_puerto
purbo	_purbo
purge	_purge
purodha	_purodha
quality	_quality
quality/down	_quality/down
quality/total	_quality/total
quality/up	_quality/up
quebec	_quebec
querétaro	_querétaro
quintana	_quintana
quote	_quote
r	_r
r-phrase	_r _- _phrase
r/ref	_r/ref
r12	_r12
race	_race
radial-gradient	_radial _- _gradient
rail	_rail
rail-interchange	_rail _- _interchange
railway	_railway
railways	_railway +s
raise	_raise
raj	_raj
raju	_raju
random	_random
range	_range
range/marker	_range/marker
ranipatel	_ranipatel
rank	_rank
rashtra	_rashtra
rating	_rating
ratio	_ratio
razorflame	_razorflame
recentchanges	_recentchanges
red	_red
redirect	_redirect
redirect-distinguish	_redirect _- _distinguish
redirect/rcat	_redirect/rcat
redirects	_redirect +s
refbegin	_refbegin
refend	_refend
reference	_reference
referencing	_referencing
refimprove	_refimprove
reflist	_reflist
refn	_refn
region	_region
regions	_region +s
registered	_registered
regular	_regular
rei	_rei
relation	_relation
religious	_religious
replace	_replace
republic	_republic
request	_request
requested	_requested
requests	_request +s
required	_required
resource	_resource
result	_result
reverting	_reverting
reybrujo	_reybrujo
reybrujo/dumps	_reybrujo/dumps
rezabot	_rezabot
rh	_rh
rhode	_rhode
rhodesia	_rhodesia
ribbon	_ribbon
rico	_rico
right	_right
right/coast	_right/coast
rightc	_rightc
river/discharge	_river/discharge
river/row-style	_river/row _- _style
river/source	_river/source
rivera	_rivera
rn	_rn
rnd	_rnd
ro	_ro
road	_road
road/abbrev	_road/abbrev
road/abbrev/defs	_road/abbrev/defs
road/abbrev/usa	_road/abbrev/usa
road/color	_road/color
road/length	_road/length
road/locations	_road/locations
road/map	_road/map
road/meta/mask/country	_road/meta/mask/country
robbot	_robbot
robot	_robot
rocket	_rocket
roggbot	_roggbot
romaine	_romaine
rome	_rome
roo	_roo
rosetta	_rosetta
routemap	_routemap
routemaprouteicon	_routemaprouteicon
row	_row
royalty	_royalty
rp	_rp
rtl-lang	_rtl _- _lang
ru	_ru
ru-3	_ru _- _3
rus	_rus
russia	_russia
russian	_russian
rwd	_rwd
s-ach	_s _- _ach
s-aft	_s _- _aft
s-bef	_s _- _bef
s-bus	_s _- _bus
s-end	_s _- _end
s-hou	_s _- _hou
s-inc	_s _- _inc
s-line	_s _- _line
s-line/amtrak	_s _- _line/amtrak
s-line/side	_s _- _line/side
s-new	_s _- _new
s-non	_s _- _non
s-note	_s _- _note
s-par	_s _- _par
s-pre	_s _- _pre
s-rail	_s _- _rail
s-rail-start	_s _- _rail _- _start
s-rail/lines	_s _- _rail/lines
s-ref	_s _- _ref
s-reg	_s _- _reg
s-start	_s _- _start
s-text	_s _- _text
s-ttl	_s _- _ttl
s-tul	_s _- _tul
s-vac	_s _- _vac
s16	_s16
s33	_s33
sa	_sa
safe	_safe
saikia	_saikia
salto	_salto
salzburg	_salzburg
samajwadi	_samajwadi
samithi/meta/color	_samithi/meta/color
samoa	_samoa
sample	_sample
san	_san
sandbox	_sandbox
sanskrit-language	_sanskrit _- _language
saper	_saper
saskatchewan	_saskatchewan
sassobot	_sassobot
saudi	_saudi
say	_say
sbowbird	_sbowbird
sbsnav	_sbsnav
sc	_sc
scheme	_scheme
school	_school
sci-stub	_sci _- _stub
scientist	_scientist
scientist/wikidata	_scientist/wikidata
sclass-	_sclass-
sclass/core	_sclass/core
sco	_sco
scooter	_scooter
scotia	_scotia
scotland	_scotland
scotus	_scotus
scribunto	_scribunto
script	_script
scripts	_script +s
scwpm	_scwpm
seat	_seat
sebleouf	_sebleouf
sec	_sec
section	_section
sects	_sects
see	_see
selfref	_selfref
semi-wikibreak	_semi _- _wiki _break
sensex	_sensex
sent	_sent
separated	_separated
serbia	_serbia
series	_series
service	_service
services	_service +s
seti6908	_seti6908
sets	_sets
settlement	_settlement
settlement/areadisp	_settlement/areadisp
settlement/checkauto	_settlement/checkauto
settlement/columns	_settlement/columns
settlement/densdisp	_settlement/densdisp
settlement/lengthdisp	_settlement/lengthdisp
settlement/link	_settlement/link
settlement/metric	_settlement/metric
settlement/pref	_settlement/pref
settlement/wikidata	_settlement/wikidata
sfn	_sfn
sfnp	_sfnp
sfnref	_sfnref
sfsr	_sfsr
sh	_sh
shell	_shell
short	_short
shortcut	_shortcut
shortcut/config	_shortcut/config
show	_show
side	_side
sidebar	_sidebar
siebot	_siebot
siebrand	_siebrand
signature	_signature
significant	_significant
sikkim	_sikkim
silvonenbot	_silvonenbot
sinaloa	_sinaloa
singapore	_singapore
single	_single
sint	_sint
sir	_sir
sirius	_sirius
sister	_sister
sister-inline	_sister _- _inline
sisterlinks	_sister _link +s
site	_site
site/wikidata	_site/wikidata
sites	_site +s
sk	_sk
slovakia	_slovakia
slovenia	_slovenia
small	_small
smallcaps	_smallcaps
smallsup	_smallsup
social	_social
socialist	_socialist
softredirect	_softredirect
software	_software
soma	_soma
somalia	_somalia
somaliland	_somaliland
sonora	_sonora
sorting	_sorting
soulbot	_soulbot
source	_source
source?	_source?
sources	_source +s
sources/core	_sources/core
south	_south
southern	_southern
sovereign	_sovereign
soviet	_soviet
spacecraft-stub	_spacecraft _- _stub
spaced	_spaced
spaces	_spaces
spain	_spain
special	_special
speciesbox	_speciesbox
speciesbox/name	_speciesbox/name
specifically	_specifically
spesbona	_spesbona
sport	_sport
sportsperson	_sportsperson
sprotected2	_sprotected2
spundun	_spundun
square	_square
sr	_sr
sreebot	_sreebot
sri	_sri
ssr	_ssr
stack	_stack
starlight	_starlight
starring	_starring
start	_start
stat	_stat
state	_state
statements	_statements
states	_state +s
station	_station
stations	_station +s
status	_status
stnlnk	_stnlnk
stock	_stock
str	_str
string	_string
string2	_string2
structure	_structure
stub	_stub
stubtree	_stub _tree
style	_style
style/ril	_style/ril
style/yid	_style/yid
styria	_styria
su	_su
sub	_sub
sub-categories	_sub _- _categories
subatomic	_subatomic
subdatarow	_subdatarow
subdivision	_subdivision
subheader	_subheader
subject	_subject
submission	_submission
submission/edit	_submission/edit
subpages	_subpages
subscription	_subscription
subscription-only	_subscription _- _only
subst	_subst
substituted	_substituted
substitution	_substitution
subtemplate	_subtemplate
suburban	_suburban
success	_success
succession	_succession
sudan	_sudan
suite	_suite
summary	_summary
suppressed	_suppressed
sur	_sur
sv	_sv
sw	_sw
swaziland	_swaziland
sweden	_sweden
switcher	_switcher
switzerland	_switzerland
symbol	_symbol
symbols	_symbol +s
synonyms	_synonyms
syria	_syria
system	_system
søby	_søby
t	_t
ta	_ta
tabasco	_tabasco
table	_table
table-experimental	_table _- _experimental
tabletools	_table _tool +s
tabot-zerem	_tabot _- _zerem
tacuarembó	_tacuarembó
tadiranscopus	_tadiranscopus
tag	_tag
tags	_tag +s
taichi	_taichi
tajik	_tajik
tajikistan	_tajikistan
tale	_tale
talk	_talk
talkback	_talkback
tamaulipas	_tamaulipas
tamil	_tamil
tamil-language	_tamil _- _language
tanganyika	_tanganyika
tanzania	_tanzania
tata	_tata
taxobox	_taxobox
taxobox/error	_taxobox/error
taxobox/floating	_taxobox/floating
taxobox/italics	_taxobox/italics
taxobox/showtaxon	_taxobox/showtaxon
taxobox/taxon	_taxobox/taxon
taxobox/taxonomy	_taxobox/taxonomy
taxonomy	_taxonomy
taxonomy/acacia	_taxonomy/acacia
taxonomy/link	_taxonomy/link
tcfc2349	_tcfc2349
te	_te
telangana	_telangana
television	_television
telugu	_telugu
template	_template
templatedata	_template _data
templatepar	_templatepar
templates	_template +s
temple	_temple
tennessee	_tennessee
tennis	_tennis
terminated	_terminated
territories	_territories
territory	_territory
testament	_testament
testcases	_testcases
texas	_texas
text	_text
tfm/dated	_tfm/dated
the	_the
thesis	_thesis
thijs!bot	_thijs!bot
thinsp	_thinsp
this	_this
tick	_tick
tickers/nyse	_tickers/nyse
tiger	_tiger
timeline	_timeline
timor-leste	_timor _- _leste
timwi	_timwi
tireless	_tireless
title	_title
tl	_tl
tla	_tla
tlaxcala	_tlaxcala
tlc	_tlc
tld	_tld
tlf	_tlf
tlg	_tlg
tls	_tls
tlu	_tlu
tlx	_tlx
tlxs	_tlx +s
tly	_tly
tmbox	_tmbox
tmbox/core	_tmbox/core
tnavbar	_tnavbar
tnull	_tnull
to	_to
toc	_toc
togo	_togo
too	_too
tool	_tool
toolbar	_toolbar
tools	_tool +s
top	_top
topic	_topic
topicon	_topicon
topics	_topic +s
tournament	_tournament
tpe	_tpe
tr	_tr
tr-n	_tr _- _n
track	_track
tracking	_tracking
tracks	_track +s
trail	_trail
transclude	_transclude
transl	_transl
translated	_translated
translation	_translation
transliteration	_transliteration
transwiki	_transwiki
travancore	_travancore
treaty	_treaty
tree	_tree
tree/end	_tree/end
tree/start	_tree/start
tree/step2	_tree/step2
treechart	_tree _chart
treechart/data	_treechart/data
tribal	_tribal
trim	_trim
trinamool	_trinamool
tropical	_tropical
trunc	_trunc
tsh	_tsh
tunisia	_tunisia
turkey	_turkey
turkmen	_turkmen
turkmenistan	_turkmenistan
tv9	_tv9
twitter	_twitter
txiki	_txiki
txikibot	_txikibot
type	_type
tyrol	_tyrol
u.s.	_u.s.
ucat	_ucat
uf-coord	_uf _- _coord
uf-coord-classes	_uf _- _coord _- _classes
uf-date-part	_uf _- _date _- _part
uf-datewarn	_uf _- _datewarn
uf-geo	_uf _- _geo
uf-hcard-geo	_uf _- _hcard _- _geo
uf-hcard-org	_uf _- _hcard _- _org
uf-hcard-person	_uf _- _hcard _- _person
uf-hprod	_uf _- _hprod
uganda	_uganda
uk	_uk
ukraine	_ukraine
ukrainian	_ukrainian
ulster	_ulster
umbox	_umbox
un	_un
unbulleted	_unbulleted
uncategorized	_uncategorized
unesco	_unesco
unicode	_unicode
union	_union
unit	_unit
united	_united
units	_unit +s
university	_university
unknown	_unknown
unnamed	_unnamed
unofficial2	_unofficial2
unported	_unported
unreferenced	_unreferenced
unreleased	_unreleased
unreliable	_unreliable
unstrip	_unstrip
unsubst	_unsubst
upper	_upper
ur	_ur
urdu	_urdu
urdu-language	_urdu _- _language
url	_url
url/doc	_url/doc
uruguay	_uruguay
us	_us
us$	_us$
usb	_usb
usbk	_usbk
usbktop	_usbktop
use	_use
used	_used
user	_user
userbox	_userbox
userbox-level	_userbox _- _level
userbox-r	_userbox _- _r
userboxbottom	_userbox _bottom
userboxes	_userboxes
usercheck-short	_user _check _- _short
userlinks/config	_userlinks/config
userlinks/shared	_userlinks/shared
uses	_use +s
using	_using
usually	_usually
utah	_utah
utc+૫:૩૦	_utc+૫:૩૦
utrecht	_utrecht
uusijani	_uusijani
uzbek	_uzbek
uzbekistan	_uzbekistan
vago	_vago
val	_val
val/delimitnum	_val/delimitnum
vale	_vale
validation	_validation
valley	_valley
value	_value
values	_value +s
values/core	_values/core
vaporpressure	_vaporpressure
vargenau	_vargenau
variants	_variants
varies	_varies
vcite	_vcite
venezuela	_venezuela
veracruz	_veracruz
verification	_verification
vermont	_vermont
versions	_versions
video	_video
vienna	_vienna
vietnam	_vietnam
villagepumppages	_villagepumppages
virgin	_virgin
virginia	_virginia
viscosity	_viscosity
void	_void
volkovbot	_volkovbot
vorarlberg	_vorarlberg
vyom25	_vyom25
wales	_wales
walloon	_walloon
wam	_wam
warning	_warning
wars	_wars
washington	_washington
washington,	_washington,
water	_water
water/convert	_water/convert
waterfall	_waterfall
wd	_wd
wd/aliasesp	_wd/aliasesp
wd/i18n	_wd/i18n
weapon	_weapon
weasel-worded	_weasel _- _worded
weather	_weather
weather/line	_weather/line
weatherbox	_weatherbox
web	_web
webarchive	_webarchive
website	_website
welcome-anon	_welcome _- _anon
west	_west
when	_when
where	_where
which	_which
who	_who
whs	_whs
wide	_wide
wiki	_wiki
wikiatlas	_wikiatlas
wikibase	_wikibase
wikibooks	_wiki _book +s
wikidata	_wiki _data
wikidata/i18n	_wikidata/i18n
wikidatacheck	_wiki _data _check
wikidataib	_wikidataib
wikidataidentifiers	_wikidataidentifiers
wikidataoi	_wikidataoi
wikidreamer	_wikidreamer
wikipedia	_wikipedia
wikipedian	_wikipedian
wikipedian's	_wikipedian's
wikipedians	_wikipedian +s
wikiproject	_wikiproject
wikiprojectbannershell	_wikiproject _banner _shell
wikiquote	_wiki _quote
wikisource	_wikisource
wikisource-inline	_wikisource _- _inline
wikisourcehas	_wikisourcehas
wikiversity	_wikiversity
wikivoyage	_wikivoyage
wikivoyage-inline	_wikivoyage _- _inline
wiktionary	_wiktionary
win	_win
