!	!	_!
!!	!!	_!!
!((	!((	_!((
!)	!)	_!)
!-	!-	_!-
!mxt	!MXT	_!mxt
!xt	!XT	_!xt
finland	FINLAND	_finland
fiorentina	FIORENTINA	_fiorentina
fire	FIRE	_fire
firibot	FIRIBOT	_firibot
first	FIRST	_first
flag	FLAG	_flag
flag2	FLAG2	_flag2
flagairforce	FLAGAIRFORCE	_flagairforce
flagbio	FLAGBIO	_flagbio
flagdeco	FLAGDECO	_flagdeco
flagdeco/core	FLAGDECO/CORE	_flagdeco/core
flagicon	FLAG ICON	_flag || _icon
flagicon/core	FLAGICON/CORE	_flagicon/core
flagioc2	FLAGIOC2	_flagioc2
flagnavy	FLAG NAVY	_flag || _navy
flanders	FLANDERS	_flanders
flat	FLAT	_flat
flatlist/microformat	FLATLIST/MICROFORMAT	_flatlist/microformat
flemish	FLEMISH	_flemish
flevoland	FLEVOLAND	_flevoland
flood	FLOOD	_flood
florida	FLORIDA	_florida
flowlist	FLOWLIST	_flowlist
fmbox	FMBOX	_fmbox
folk	FOLK	_folk
font	FONT	_font
football	FOOTBALL	_football
footer	FOOTER	_footer
footer/tracking	FOOTER/TRACKING	_footer/tracking
footnotes	FOOTNOTES	_footnotes
for	FOR	_for
force	FORCE	_force
format	FORMAT	_format
formatnum	FORMATNUM	_formatnum
former	FORMER	_former
fossil	FOSSIL	_fossil
foxbot	FOXBOT	_foxbot
foxie001	FOXIE001	_foxie001
fr	FR	_fr
fr-n	FR N	_fr || _n
fra	FRA	_fra
france	FRANCE	_france
franchise	FRANCHISE	_franchise
frank5308000	FRANK5308000	_frank5308000
frankfurt	FRANKFURT	_frankfurt
free	FREE	_free
french-language	FRENCH LANGUAGE	_french || _language
friesland	FRIESLAND	_friesland
from	FROM	_from
front/meta/color	FRONT/META/COLOR	_front/meta/color
fullbasepagename	FULLBASEPAGENAME	_fullbasepagename
fullrootpagename	FULLROOTPAGENAME	_fullrootpagename
functions	FUNCTIONS	_functions
gadget-wiked.js	GADGET WIKED.JS	_gadget || _wiked.js
gag	GAG	_gag
gain	GAIN	_gain
gallery	GALLERY	_gallery
gallery/aux	GALLERY/AUX	_gallery/aux
gambia	GAMBIA	_gambia
game	GAME	_game
gangleri	GANGLERI	_gangleri
gaps	GAPS	_gaps
gaudio	GAUDIO	_gaudio
gauge	GAUGE	_gauge
gauge/data	GAUGE/DATA	_gauge/data
gauge/extra	GAUGE/EXTRA	_gauge/extra
gbm4ibx	GBM4IBX	_gbm4ibx
gbmappingsmall	GBMAPPINGSMALL	_gbmappingsmall
gelderland	GELDERLAND	_gelderland
general	GENERAL	_general
geo-stub	GEO STUB	_geo || _stub
geobox	GEOBOX	_geobox
geobox2	GEOBOX2	_geobox2
geogroup	GEOGROUP	_geogroup
geological	GEOLOGICAL	_geological
georgia	GEORGIA	_georgia
georgian	GEORGIAN	_georgian
georgiaphysiology	GEORGIAPHYSIOLOGY	_georgiaphysiology
geosouthasia	GEOSOUTHASIA	_geosouthasia
geotemplate	GEOTEMPLATE	_geotemplate
geotemplate/lang	GEOTEMPLATE/LANG	_geotemplate/lang
german-language	GERMAN LANGUAGE	_german || _language
germany	GERMANY	_germany
get	GET	_get
gfdl	GFDL	_gfdl
ghana	GHANA	_ghana
gibraltar	GIBRALTAR	_gibraltar
gl	GL	_gl
globals	GLOBALS	_globals
glottolink	GLOTTOLINK	_glottolink
glottolog	GLOTTOLOG	_glottolog
gnu	GNU	_gnu
gold	GOLD	_gold
golfer	GOLFER	_golfer
google	GOOGLE	_google
governing	GOVERNING	_governing
government	GOVERNMENT	_government
gpl-lic	GPL LIC	_gpl || _lic
grading	GRADING	_grading
graph:pageviews	GRAPH:PAGEVIEWS	_graph:pageviews
grapheme	GRAPHEME	_grapheme
graphical	GRAPHICAL	_graphical
great	GREAT	_great
greater	GREATER	_greater
greece	GREECE	_greece
grin	GRIN	_grin
groningen	GRONINGEN	_groningen
ground	GROUND	_ground
group	GROUP	_group
groups	GROUP +(s)	_group +s
groveonline	GROVEONLINE	_groveonline
gu	GU	_gu
gu-0	GU 0	_gu || _0
gu-1	GU 1	_gu || _1
gu-2	GU 2	_gu || _2
gu-3	GU 3	_gu || _3
gu-4	GU 4	_gu || _4
gu-n	GU N	_gu || _n
guam	GUAM	_guam
guanajuato	GUANAJUATO	_guanajuato
guerrero	GUERRERO	_guerrero
guiana	GUIANA	_guiana
guide	GUIDE	_guide
gujarat-geo-stub	GUJARAT GEO STUB	_gujarat || _geo || _stub
gujarati	GUJARATI	_gujarati
gujlit	GUJLIT	_gujlit
guyana	GUYANA	_guyana
gvp	GVP	_gvp
hainaut	HAINAUT	_hainaut
hampshire	HAMPSHIRE	_hampshire
handbook	HANDBOOK	_handbook
handler	HANDLER	_handler
handler/blacklist	HANDLER/BLACKLIST	_handler/blacklist
handler/config	HANDLER/CONFIG	_handler/config
handler/data	HANDLER/DATA	_handler/data
handler/shared	HANDLER/SHARED	_handler/shared
harald	HARALD	_harald
harsh4101991	HARSH4101991	_harsh4101991
harvard	HARVARD	_harvard
has	HAS	_has
hatnote	HATNOTE	_hatnote
hatnote-inline	HATNOTE INLINE	_hatnote || _inline
haveli	HAVELI	_haveli
hawaii	HAWAII	_hawaii
hcards	HCARD* +(s)	_hcard +s
header	HEADER	_header
headerbar	HEADERBAR	_headerbar
heading	HEADING	_heading
heatcapacity	HEATCAPACITY	_heatcapacity
height	HEIGHT	_height
help	HELP	_help
helpbox	HELPBOX	_helpbox
herald	HERALD	_herald
herculebot	HERCULEBOT	_herculebot
heritage	HERITAGE	_heritage
herodotus	HERODOTUS	_herodotus
hi	HI	_hi
hi-0	HI 0	_hi || _0
hi-1	HI 1	_hi || _1
hi-2	HI 2	_hi || _2
hi-3	HI 3	_hi || _3
hi-4	HI 4	_hi || _4
hi-n	HI N	_hi || _n
hidalgo	HIDALGO	_hidalgo
hidden	HIDDEN	_hidden
hide	HIDE	_hide
high	HIGH	_high
high-risk	HIGH RISK	_high || _risk
high-use	HIGH USE	_high || _use
highlight	HIGHLIGHT	_highlight
highlight/core	HIGHLIGHT/CORE	_highlight/core
hiking	HIKING	_hiking
hind	HIND	_hind
hindu	HINDU	_hindu
historic	HISTORIC	_historic
history	HISTORY	_history
history/output	HISTORY/OUTPUT	_history/output
hlist	HLIST	_hlist
hold	HOLD	_hold
holiday	HOLIDAY	_holiday
holiday/date	HOLIDAY/DATE	_holiday/date
holland	HOLLAND	_holland
hong	HONG	_hong
horst	HORST	_horst
hotcat	HOTCAT	_hotcat
how	HOW	_how
how-to	HOW TO	_how || _to
hr	HR	_hr
hsb	HSB	_hsb
htmlbuilder	HTMLBUILDER	_htmlbuilder
hu	HU	_hu
hugo.arg	HUGO.ARG	_hugo.arg
hungary	HUNGARY	_hungary
i18n	I18N	_i18n
iaaf	IAAF	_iaaf
iafd	IAFD	_iafd
iast	IAST	_iast
icd10	ICD10	_icd10
icd9	ICD9	_icd9
ice	ICE	_ice
iceland	ICELAND	_iceland
ices2csharp	ICES2CSHARP	_ices2csharp
icon	ICON	_icon
icon/data	ICON/DATA	_icon/data
icon2	ICON2	_icon2
id	ID	_id
idaho	IDAHO	_idaho
idioma-bot	IDIOMA BOT	_idioma || _bot
idw	IDW	_idw
iem4ibx	IEM4IBX	_iem4ibx
if	IF	_if
ifarticle	IFARTICLE	_ifarticle
ifnotempty	IFNOTEMPTY	_ifnotempty
ifsubst	IFSUBST	_ifsubst
illinois	ILLINOIS	_illinois
image	IMAGE	_image
images	IMAGE +(s)	_image +s
imdb	IMDB	_imdb
importance	IMPORTANCE	_importance
importance/entry	IMPORTANCE/ENTRY	_importance/entry
importance/icon	IMPORTANCE/ICON	_importance/icon
importance/row	IMPORTANCE/ROW	_importance/row
improve	IMPROVE	_improve
in	IN	_in
inc.	INC.	_inc.
incorporating	INCORPORATING	_incorporating
incorrect	INCORRECT	_incorrect
increasenegative	INCREASENEGATIVE	_increasenegative
ind	IND	_ind
independent	INDEPENDENT	_independent
index	INDEX	_index
index/getchar	INDEX/GETCHAR	_index/getchar
india	INDIA	_india
india/meta/color	INDIA/META/COLOR	_india/meta/color
indian	INDIAN	_indian
indiana	INDIANA	_indiana
indies	INDIES	_indies
indo-pakistani	INDO PAKISTANI	_indo || _pakistani
indonesia	INDONESIA	_indonesia
info	INFO	_info
infobox	INFOBOX	_infobox
infobox3cols	INFOBOX3COLS	_infobox3cols
infoboximage	INFOBOX IMAGE	_infobox || _image
inline	INLINE	_inline
inr	INR	_inr
inrconvert	INRCONVERT	_inrconvert
inrconvert/currentrate	INRCONVERT/CURRENTRATE	_inrconvert/currentrate
insomnia	INSOMNIA	_insomnia
installation	INSTALLATION	_installation
instrument	INSTRUMENT	_instrument
instrument/classification	INSTRUMENT/CLASSIFICATION	_instrument/classification
instrument/color	INSTRUMENT/COLOR	_instrument/color
integrity	INTEGRITY	_integrity
internal	INTERNAL	_internal
international	INTERNATIONAL	_international
internet	INTERNET	_internet
interview	INTERVIEW	_interview
intricate	INTRICATE	_intricate
intro	INTRO	_intro
invalid	INVALID	_invalid
io	IO	_io
iowa	IOWA	_iowa
ip	IP	_ip
ipa	IPA	_ipa
ipa-all	IPA ALL	_ipa || _all
ipa-fa	IPA FA	_ipa || _fa
ipa-hns	IPA HNS	_ipa || _hns
ipa-ml	IPA ML	_ipa || _ml
ipa-sa	IPA SA	_ipa || _sa
ipa-sh	IPA SH	_ipa || _sh
ipablink	IPABLINK	_ipablink
ipac-en	IPAC EN	_ipac || _en
ipac-en/data	IPAC EN/DATA	_ipac || _en/data
ipac-en/phonemes	IPAC EN/PHONEMES	_ipac || _en/phonemes
ipac-en/pronunciation	IPAC EN/PRONUNCIATION	_ipac || _en/pronunciation
ipac-ro/pronunciation	IPAC RO/PRONUNCIATION	_ipac || _ro/pronunciation
ipaeng	IPAENG	_ipaeng
ipaslink	IPASLINK	_ipaslink
ipv4	IPV4	_ipv4
iran	IRAN	_iran
iraq	IRAQ	_iraq
irc	IRC	_irc
ireland	IRELAND	_ireland
irish	IRISH	_irish
irvin	IRVIN	_irvin
is	IS	_is
isbn	ISBN	_isbn
isbnt	ISBNT	_isbnt
island	ISLAND	_island
islands	ISLAND +(s)	_island +s
islands/area	ISLANDS/AREA	_islands/area
islands/density	ISLANDS/DENSITY	_islands/density
islands/length	ISLANDS/LENGTH	_islands/length
iso	ISO	_iso
isodate	ISODATE	_isodate
israel	ISRAEL	_israel
issues	ISSUES	_issues
isvalidpagename	ISVALIDPAGENAME	_isvalidpagename
isxn	ISXN	_isxn
it	IT	_it
italic	ITALIC	_italic
italy	ITALY	_italy
item	ITEM	_item
itis	ITIS	_itis
iucn	IUCN	_iucn
iucn2009.2	IUCN2009.2	_iucn2009.2
iucn2012.2	IUCN2012.2	_iucn2012.2
ivory	IVORY	_ivory
ja	JA	_ja
jain	JAIN	_jain
jalisco	JALISCO	_jalisco
jammu	JAMMU	_jammu
jan	JAN	_jan
janata	JANATA	_janata
jandbot	JANDBOT	_jandbot
janwo	JANWO	_janwo
japan	JAPAN	_japan
japanese-language	JAPANESE LANGUAGE	_japanese || _language
jct/city	JCT/CITY	_jct/city
jersey	JERSEY	_jersey
jfblanc	JFBLANC	_jfblanc
jhsbot	JHSBOT	_jhsbot
jiggythakor	JIGGYTHAKOR	_jiggythakor
jnanpith	JNANPITH	_jnanpith
jon	JON	_jon
jordan	JORDAN	_jordan
jorunn	JORUNN	_jorunn
jose77	JOSE77	_jose77
josé	JOSÉ	_josé
journal	JOURNAL	_journal
jsoby	JSOBY	_jsoby
jstor/userbox	JSTOR/USERBOX	_jstor/userbox
junafani	JUNAFANI	_junafani
jurisdiction	JURISDICTION	_jurisdiction
jybot	JYBOT	_jybot
jøma	JØMA	_jøma
ka	KA	_ka
kalmar	KALMAR	_kalmar
kamgar	KAMGAR	_kamgar
kanesue	KANESUE	_kanesue
kanjy	KANJY	_kanjy
kansas	KANSAS	_kansas
karnataka	KARNATAKA	_karnataka
kashmir	KASHMIR	_kashmir
kasirbot	KASIRBOT	_kasirbot
kazakh	KAZAKH	_kazakh
kazakhstan	KAZAKHSTAN	_kazakhstan
kazhagam/meta/color	KAZHAGAM/META/COLOR	_kazhagam/meta/color
kedar	KEDAR	_kedar
kelovy	KELOVY	_kelovy
kentucky	KENTUCKY	_kentucky
kenya	KENYA	_kenya
kg	KG	_kg
khan	KHAN	_khan
khanbot	KHANBOT	_khanbot
kharan	KHARAN	_kharan
khmer-language	KHMER LANGUAGE	_khmer || _language
kia	KIA	_kia
kindness	KINDNESS	_kindness
kingdom	KINGDOM	_kingdom
kirghiz	KIRGHIZ	_kirghiz
kisan	KISAN	_kisan
kit	KIT	_kit
km	KM	_km
kn	KN	_kn
ko	KO	_ko
koavf	KOAVF	_koavf
kolega2357	KOLEGA2357	_kolega2357
kolibrios	KOLIBRIOS	_kolibrios
kolkata	KOLKATA	_kolkata
kondicherry	KONDICHERRY	_kondicherry
kong	KONG	_kong
konkan	KONKAN	_konkan
korea	KOREA	_korea
korean	KOREAN	_korean
kutchkutch	KUTCHKUTCH	_kutchkutch
kuwait	KUWAIT	_kuwait
kyrgyzstan	KYRGYZSTAN	_kyrgyzstan
la	LA	_la
label	LABEL	_label
labelled	LABELLED	_labelled
labrador	LABRADOR	_labrador
lang	LANG	_lang
lang-ab	LANG AB	_lang || _ab
lang-am	LANG AM	_lang || _am
lang-ar	LANG AR	_lang || _ar
lang-az	LANG AZ	_lang || _az
lang-bo	LANG BO	_lang || _bo
lang-de	LANG DE	_lang || _de
lang-dv	LANG DV	_lang || _dv
lang-el	LANG EL	_lang || _el
lang-en	LANG EN	_lang || _en
lang-es	LANG ES	_lang || _es
lang-fa	LANG FA	_lang || _fa
lang-fi	LANG FI	_lang || _fi
lang-fil	LANG FIL	_lang || _fil
lang-fr	LANG FR	_lang || _fr
lang-grc-gre	LANG GRC GRE	_lang || _grc || _gre
lang-gu	LANG GU	_lang || _gu
lang-he	LANG HE	_lang || _he
lang-hi	LANG HI	_lang || _hi
lang-hy	LANG HY	_lang || _hy
lang-id	LANG ID	_lang || _id
lang-ja	LANG JA	_lang || _ja
lang-km	LANG KM	_lang || _km
lang-kn	LANG KN	_lang || _kn
lang-ky	LANG KY	_lang || _ky
lang-la	LANG LA	_lang || _la
lang-lo	LANG LO	_lang || _lo
lang-ml	LANG ML	_lang || _ml
lang-mr	LANG MR	_lang || _mr
lang-my	LANG MY	_lang || _my
lang-ne	LANG NE	_lang || _ne
lang-nl	LANG NL	_lang || _nl
lang-or	LANG OR	_lang || _or
lang-pa	LANG PA	_lang || _pa
lang-ps	LANG PS	_lang || _ps
lang-rn	LANG RN	_lang || _rn
lang-rom	LANG ROM	_lang || _rom
lang-ru	LANG RU	_lang || _ru
lang-rw	LANG RW	_lang || _rw
lang-sa	LANG SA	_lang || _sa
lang-sd	LANG SD	_lang || _sd
lang-se	LANG SE	_lang || _se
lang-si	LANG SI	_lang || _si
lang-sw	LANG SW	_lang || _sw
lang-ta	LANG TA	_lang || _ta
lang-te	LANG TE	_lang || _te
lang-tg	LANG TG	_lang || _tg
lang-th	LANG TH	_lang || _th
lang-tk	LANG TK	_lang || _tk
lang-tr	LANG TR	_lang || _tr
lang-ur	LANG UR	_lang || _ur
lang-uz	LANG UZ	_lang || _uz
lang-yi	LANG YI	_lang || _yi
lang-zh	LANG ZH	_lang || _zh
lang/data	LANG/DATA	_lang/data
lang/documentor	LANG/DOCUMENTOR	_lang/documentor
lang/iso	LANG/ISO	_lang/iso
language	LANGUAGE	_language
language/codelist	LANGUAGE/CODELIST	_language/codelist
language/data/iana	LANGUAGE/DATA/IANA	_language/data/iana
language/data/iso	LANGUAGE/DATA/ISO	_language/data/iso
language/data/wp	LANGUAGE/DATA/WP	_language/data/wp
language/family-color	LANGUAGE/FAMILY COLOR	_language/family || _color
language/genetic	LANGUAGE/GENETIC	_language/genetic
language/language	LANGUAGE/LANGUAGE	_language/language
language/linguistlist	LANGUAGE/LINGUISTLIST	_language/linguistlist
language/name/data	LANGUAGE/NAME/DATA	_language/name/data
language/notes	LANGUAGE/NOTES	_language/notes
language/quilt	LANGUAGE/QUILT	_language/quilt
language/ref	LANGUAGE/REF	_language/ref
languages	LANGUAGE +(s)	_language +s
lanka	LANKA	_lanka
laos	LAOS	_laos
larger	LARGER	_larger
lasius	LASIUS	_lasius
latin-language	LATIN LANGUAGE	_latin || _language
latvia	LATVIA	_latvia
latvian	LATVIAN	_latvian
law	LAW	_law
layout	LAYOUT	_layout
lead	LEAD	_lead
least	LEAST	_least
leave	LEAVE	_leave
lebanon	LEBANON	_lebanon
left	LEFT	_left
left/coast	LEFT/COAST	_left/coast
legend	LEGEND	_legend
legend0	LEGEND0	_legend0
legislature	LEGISLATURE	_legislature
leinster	LEINSTER	_leinster
len	LEN	_len
len/core	LEN/CORE	_len/core
lesotho	LESOTHO	_lesotho
lethal	LETHAL	_lethal
letter/trim	LETTER/TRIM	_letter/trim
level	LEVEL	_level
león	LEÓN	_león
li	LI	_li
liberia	LIBERIA	_liberia
libya	LIBYA	_libya
license	LICENSE	_license
liechtenstein	LIECHTENSTEIN	_liechtenstein
limburg	LIMBURG	_limburg
limit	LIMIT	_limit
limited	LIMITED	_limited
line	LINE	_line
lines	LINE +(s)	_line +s
link	LINK	_link
link/core	LINK/CORE	_link/core
link/normal	LINK/NORMAL	_link/normal
link/relative	LINK/RELATIVE	_link/relative
link/secure	LINK/SECURE	_link/secure
link/text	LINK/TEXT	_link/text
links	LINK +(s)	_link +s
linktext	LINK TEXT	_link || _text
list	LIST	_list
list-style-type	LIST STYLE TYPE	_list || _style || _type
list/entry	LIST/ENTRY	_list/entry
listen	LISTEN	_listen
listing	LISTING	_listing
lists	LIST +(s)	_list +s
lithuania	LITHUANIA	_lithuania
lithuanian	LITHUANIAN	_lithuanian
lixer	LIXER	_lixer
liège	LIÈGE	_liège
location	LOCATION	_location
logicwiki	LOGICWIKI	_logicwiki
logo	LOGO	_logo
logo.png	LOGO.PNG	_logo.png
logos	LOGO +(s)	_logo +s
logp	LOGP	_logp
london	LONDON	_london
long	LONG	_long
longitem	LONG ITEM	_long || _item
longlisted	LONGLISTED	_longlisted
lookup	LOOKUP	_lookup
loop	LOOP	_loop
lordship	LORDSHIP	_lordship
loremipsum	LOREMIPSUM	_loremipsum
louisiana	LOUISIANA	_louisiana
lovysinghal	LOVYSINGHAL	_lovysinghal
lower	LOWER	_lower
lowercase	LOWER CASE	_lower || _case
lt	LT	_lt
lua	LUA	_lua
luckas-bot	LUCKAS BOT	_luckas || _bot
lucpol	LUCPOL	_lucpol
luis	LUIS	_luis
luxembourg	LUXEMBOURG	_luxembourg
lv	LV	_lv
lx	LX	_lx
lytov	LYTOV	_lytov
lzh	LZH	_lzh
mabifixem	MABIFIXEM	_mabifixem
macau	MACAU	_macau
macedonia	MACEDONIA	_macedonia
madagascar	MADAGASCAR	_madagascar
madeira	MADEIRA	_madeira
magazine	MAGAZINE	_magazine
magic	MAGIC	_magic
magnitude	MAGNITUDE	_magnitude
mahdibot	MAHDIBOT	_mahdibot
main	MAIN	_main
maine	MAINE	_maine
maintenance	MAINTENANCE	_maintenance
maio	MAIO	_maio
makecat	MAKECAT	_makecat
mala	MALA	_mala
malawi	MALAWI	_malawi
malayalam-language	MALAYALAM LANGUAGE	_malayalam || _language
malaysia	MALAYSIA	_malaysia
maldives	MALDIVES	_maldives
malformed	MALFORMED	_malformed
mali	MALI	_mali
malta	MALTA	_malta
managers	MANAGERS	_managers
manitoba	MANITOBA	_manitoba
manubot	MANUBOT	_manubot
manumg	MANUMG	_manumg
map	MAP	_map
map+	MAP+	_map+
map/data	MAP/DATA	_map/data
map/data/afghanistan	MAP/DATA/AFGHANISTAN	_map/data/afghanistan
map/data/africa	MAP/DATA/AFRICA	_map/data/africa
map/data/bolivia	MAP/DATA/BOLIVIA	_map/data/bolivia
map/data/cambodia	MAP/DATA/CAMBODIA	_map/data/cambodia
map/data/canada	MAP/DATA/CANADA	_map/data/canada
map/data/earth	MAP/DATA/EARTH	_map/data/earth
map/data/france	MAP/DATA/FRANCE	_map/data/france
map/data/india	MAP/DATA/INDIA	_map/data/india
map/data/karnataka	MAP/DATA/KARNATAKA	_map/data/karnataka
map/data/mali	MAP/DATA/MALI	_map/data/mali
map/data/nepal	MAP/DATA/NEPAL	_map/data/nepal
map/data/nevada	MAP/DATA/NEVADA	_map/data/nevada
map/data/norway	MAP/DATA/NORWAY	_map/data/norway
map/data/usa	MAP/DATA/USA	_map/data/usa
map/decdeg	MAP/DECDEG	_map/decdeg
map/info	MAP/INFO	_map/info
map/mapname	MAP/MAPNAME	_map/mapname
map/multi	MAP/MULTI	_map/multi
mapbox	MAPBOX	_mapbox
mapframe	MAPFRAME	_mapframe
mapframe/wikidata	MAPFRAME/WIKIDATA	_mapframe/wikidata
maplink	MAPLINK	_maplink
maps	MAP +(s)	_map +s
map~	MAP~	_map~
maratha	MARATHA	_maratha
marathi-language	MARATHI LANGUAGE	_marathi || _language
marek69	MAREK69	_marek69
mariana	MARIANA	_mariana
markahershberger	MARKAHERSHBERGER	_markahershberger
marked	MARKED	_marked
markup	MARKUP	_markup
marriage	MARRIAGE	_marriage
marshall	MARSHALL	_marshall
maryland	MARYLAND	_maryland
massachusetts	MASSACHUSETTS	_massachusetts
masti	MASTI	_masti
matches	MATCHES	_matches
math	MATH	_math
mauritania	MAURITANIA	_mauritania
mauritius	MAURITIUS	_mauritius
maxval	MAXVAL	_maxval
mbox	MBOX	_mbox
mdy	MDY	_mdy
medal	MEDAL	_medal
medalbottom	MEDAL BOTTOM	_medal || _bottom
medalbronze	MEDALBRONZE	_medalbronze
medalcompetition	MEDAL COMPETITION	_medal || _competition
medalcountry	MEDAL COUNTRY	_medal || _country
medalgold	MEDAL GOLD	_medal || _gold
medalsilver	MEDALSILVER	_medalsilver
medalsport	MEDAL SPORT	_medal || _sport
medaltabletop	MEDALTABLETOP	_medaltabletop
media	MEDIA	_media
meetup	MEETUP	_meetup
meneerke	MENEERKE	_meneerke
menobot	MENOBOT	_menobot
mercy	MERCY	_mercy
merge	MERGE	_merge
merriamwebsterdictionary	MERRIAMWEBSTERDICTIONARY	_merriamwebsterdictionary
message	MESSAGE	_message
messages	MESSAGE +(s)	_message +s
metalgearliquid	METALGEARLIQUID	_metalgearliquid
mexican	MEXICAN	_mexican
mexico	MEXICO	_mexico
mg	MG	_mg
michigan	MICHIGAN	_michigan
michoacán	MICHOACÁN	_michoacán
microformat	MICROFORMAT	_microformat
microformats	MICROFORMAT +(s)	_microformat +s
micronesia	MICRONESIA	_micronesia
migration	MIGRATION	_migration
mikhalenko	MIKHALENKO	_mikhalenko
milan	MILAN	_milan
military	MILITARY	_military
mimsy-porpington	MIMSY PORPINGTON	_mimsy || _porpington
minh	MINH	_minh
minnesota	MINNESOTA	_minnesota
minor	MINOR	_minor
missing	MISSING	_missing
mississippi	MISSISSIPPI	_mississippi
missouri	MISSOURI	_missouri
mithridates	MITHRIDATES	_mithridates
mitul0520	MITUL0520	_mitul0520
mizo	MIZO	_mizo
mizoram	MIZORAM	_mizoram
mli	MLI	_mli
mod	MOD	_mod
module	MODULE	_module
modules	MODULE +(s)	_module +s
moiramoira	MOIRAMOIRA	_moiramoira
mojo	MOJO	_mojo
moldavian	MOLDAVIAN	_moldavian
moldova	MOLDOVA	_moldova
momo	MOMO	_momo
monaco	MONACO	_monaco
mongolia	MONGOLIA	_mongolia
mono	MONO	_mono
montage	MONTAGE	_montage
montana	MONTANA	_montana
montenegro	MONTENEGRO	_montenegro
monthname	MONTHNAME	_monthname
monthnumber	MONTHNUMBER	_monthnumber
months	MONTHS	_months
monument	MONUMENT	_monument
monuments	MONUMENT +(s)	_monument +s
morelos	MORELOS	_morelos
morocco	MOROCCO	_morocco
mountain	MOUNTAIN	_mountain
mountain/convert	MOUNTAIN/CONVERT	_mountain/convert
move	MOVE	_move
move/dated	MOVE/DATED	_move/dated
mozambique	MOZAMBIQUE	_mozambique
mr	MR	_mr
multichill	MULTICHILL	_multichill
multiple	MULTIPLE	_multiple
mumbai	MUMBAI	_mumbai
munich	MUNICH	_munich
munnetra	MUNNETRA	_munnetra
munster	MUNSTER	_munster
muro	MURO	_muro
museum	MUSEUM	_museum
music	MUSIC	_music
mwl	MWL	_mwl
mxt	MXT	_mxt
myanmar	MYANMAR	_myanmar
méxico	MÉXICO	_méxico
n/a	N/A	_n/a
nadu	NADU	_nadu
nagar	NAGAR	_nagar
nagorno-karabakh	NAGORNO KARABAKH	_nagorno || _karabakh
name	NAME	_name
name/categories	NAME/CATEGORIES	_name/categories
names	NAME +(s)	_name +s
namespace	NAMESPACE	_namespace
namur	NAMUR	_namur
nasdaq	NASDAQ	_nasdaq
national	NATIONAL	_national
nationalist	NATIONALIST	_nationalist
nations	NATIONS	_nations
navbar	NAVBAR	_navbar
navbar-collapsible	NAVBAR COLLAPSIBLE	_navbar || _collapsible
navbox	NAVBOX	_navbox
navigation	NAVIGATION	_navigation
navy	NAVY	_navy
nayarit	NAYARIT	_nayarit
nb	NB	_nb
nds	NDS	_nds
ne	NE	_ne
nebraska	NEBRASKA	_nebraska
needed	NEEDED	_needed
needing	NEEDING	_needing
nehaldavend	NEHALDAVEND	_nehaldavend
nep	NEP	_nep
nepal	NEPAL	_nepal
netherlands	NETHERLANDS	_netherlands
neutrino	NEUTRINO	_neutrino
nevada	NEVADA	_nevada
new	NEW	_new
newfoundland	NEWFOUNDLAND	_newfoundland
newone	NEWONE	_newone
news	NEW +(s)	_new +s
nicholas	NICHOLAS	_nicholas
nickshanks	NICKSHANKS	_nickshanks
nicobar	NICOBAR	_nicobar
niger	NIGER	_niger
nigeria	NIGERIA	_nigeria
nihongo	NIHONGO	_nihongo
nihongo2	NIHONGO2	_nihongo2
niosh	NIOSH	_niosh
njardarbot	NJARDARBOT	_njardarbot
njardarlogar	NJARDARLOGAR	_njardarlogar
nl	NL	_nl
nn	NN	_nn
no	NO	_no
no2	NO2	_no2
nobold	NOBOLD	_nobold
noindex	NOINDEX	_noindex
nom	NOM	_nom
non-free	NON FREE	_non || _free
nonfree	NONFREE	_nonfree
norank	NORANK	_norank
north	NORTH	_north
northern	NORTHERN	_northern
northwest	NORTH WEST	_north || _west
norway	NORWAY	_norway
nosubst	NOSUBST	_nosubst
not	NOT	_not
note	NOTE	_note
notefoot	NOTEFOOT	_notefoot
notelist	NOTE LIST	_note || _list
notelist-ua	NOTE LIST UA	_note || _list || _ua
notice	NOTICE	_notice
nov	NOV	_nov
nova	NOVA	_nova
nowrap	NOWRAP	_nowrap
nrhp	NRHP	_nrhp
ns	NS	_ns
nts	NTS	_nts
ntsh	NTSH	_ntsh
nuevo	NUEVO	_nuevo
number	NUMBER	_number
numeral	NUMERAL	_numeral
numis	NUMIS	_numis
nunavut	NUNAVUT	_nunavut
nutritional	NUTRITIONAL	_nutritional
nutshell	NUTSHELL	_nutshell
oaxaca	OAXACA	_oaxaca
obersachse	OBERSACHSE	_obersachse
obersachsebot	OBERSACHSEBOT	_obersachsebot
obscure	OBSCURE	_obscure
oc	OC	_oc
oclc	OCLC	_oclc
odia-language	ODIA LANGUAGE	_odia || _language
odnb	ODNB	_odnb
odnbsub	ODNBSUB	_odnbsub
of	OF	_of
officeholder	OFFICEHOLDER	_officeholder
officeholder/office	OFFICEHOLDER/OFFICE	_officeholder/office
officer	OFFICER	_officer
official	OFFICIAL	_official
offsblink	OFFSBLINK	_offsblink
ohio	OHIO	_ohio
oklahoma	OKLAHOMA	_oklahoma
oman	OMAN	_oman
ombox	OMBOX	_ombox
ombox/core	OMBOX/CORE	_ombox/core
on	ON	_on
only	ONLY	_only
ontario	ONTARIO	_ontario
open	OPEN	_open
operation	OPERATION	_operation
